TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.alibaba.fastjson2.reader.ObjectReaderBean,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4442712262709121,803,217
com.alibaba.fastjson2.reader.ObjectReaderBean,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.4218096855248916,803,212
com.alibaba.fastjson2.reader.ObjectReaderBean,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.2712350805291918,801,62
