TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.alibaba.fastjson2.reader.ObjectReaderImplEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6907873689625381,605,317
com.alibaba.fastjson2.reader.ObjectReaderImplEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6925726495066236,605,316
com.alibaba.fastjson2.reader.ObjectReaderImplEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7183855478049128,606,337
com.alibaba.fastjson2.reader.ObjectReaderImplEnum,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7138651922786139,605,334
